id,section,difficulty,topic,question,A,B,C,D,answer
TCS_LOG_077,Logical Reasoning,HARD,Seating Arrangement,6 people sit in a circle. A is between B and C. D is between E and F. B is opposite D. Who is opposite A?,E,F,C,B,A
TCS_LOG_078,Logical Reasoning,HARD,Seating Arrangement,"P,Q,R,S sit in a row. P is not next to Q. R is next to S. If Q is 2nd from left, where is P?",4th from left,1st from left,3rd from left,2nd from right,A
TCS_LOG_080,Logical Reasoning,HARD,Seating Arrangement,"A is to the left of B. C is to the right of D. B and D are at the same position. Who is 2nd from right: A,B,C,D?",C,B,A,D,A
TCS_LOG_081,Logical Reasoning,HARD,Seating Arrangement,6 students sit in a row facing north. A is at one end. F is between D and E. B is to the immediate right of A. C is between B and D. Who is in the middle?,C or D,B or C,D or E,A or B,A
TCS_LOG_083,Logical Reasoning,HARD,Seating Arrangement,"A,B,C,D,E sit in a row. B is to the right of E but left of C. A is at extreme left. D is not next to A. Middle position is:",B,C,E,D,A
TCS_LOG_084,Logical Reasoning,HARD,Seating Arrangement,5 boxes are stacked. Red is below yellow. Blue is above green. Green is above yellow. Black is at top. Order from top?,"Black, Blue, Green, Yellow, Red","Black, Green, Blue, Yellow, Red","Blue, Black, Green, Yellow, Red","Black, Blue, Yellow, Green, Red",A
TCS_LOG_079,Logical Reasoning,MEDIUM,Seating Arrangement,"In a row of 10, X is 4th from left and Y is 7th from right. How many people are between X and Y?",2,3,1,4,B
TCS_LOG_082,Logical Reasoning,MEDIUM,Seating Arrangement,"In a circular arrangement of 8 people, if 4 people between A and B going clockwise, how many are there going counter-clockwise?",3,4,5,2,A
TCS_LOG_001,Logical Reasoning,EASY,Series,"Letter series: A, C, E, G, ___",I,H,J,K,A
TCS_LOG_002,Logical Reasoning,EASY,Series,"Letter series: Z, X, V, T, ___",R,S,Q,P,A
TCS_LOG_004,Logical Reasoning,EASY,Series,"Number series: 2, 4, 8, 16, ___",32,24,28,36,A
TCS_LOG_005,Logical Reasoning,EASY,Series,"Number series: 1, 4, 9, 16, 25, ___",36,32,49,30,A
TCS_LOG_010,Logical Reasoning,EASY,Series,"Letter series: AZ, BY, CX, DW, ___",EV,EU,FV,DU,A
TCS_LOG_012,Logical Reasoning,EASY,Series,"Number series: 144, 121, 100, 81, ___",64,49,72,56,A
TCS_LOG_017,Logical Reasoning,EASY,Series,"Number series: 8, 27, 64, 125, ___",216,196,200,225,A
TCS_LOG_018,Logical Reasoning,EASY,Series,"Number series: 2, 3, 5, 7, 11, 13, ___",17,15,19,16,A
TCS_LOG_020,Logical Reasoning,EASY,Series,"Number series: 0, 1, 1, 2, 3, 5, 8, ___",13,11,14,10,A
TCS_LOG_023,Logical Reasoning,EASY,Series,"Alpha-numeric: AB1, CD2, EF3, GH4, ___",IJ5,IJ6,KL5,HI5,A
TCS_LOG_025,Logical Reasoning,EASY,Series,"Number series: 1, 8, 27, 64, 125, 216, ___",343,256,300,400,A
TCS_LOG_011,Logical Reasoning,HARD,Series,"Number series: 5, 10, 17, 26, 37, ___",50,48,52,55,A
TCS_LOG_013,Logical Reasoning,HARD,Series,"Letter series: M, N, P, S, W, ___",B,A,C,D,A
TCS_LOG_014,Logical Reasoning,HARD,Series,"Number series: 1, 3, 7, 13, 21, ___",31,29,33,27,A
TCS_LOG_015,Logical Reasoning,HARD,Series,"Number series: 6, 13, 27, 55, ___",111,113,109,105,A
TCS_LOG_016,Logical Reasoning,HARD,Series,"Letter series: A, B, D, G, K, ___",P,Q,O,N,A
TCS_LOG_021,Logical Reasoning,HARD,Series,"Number series: 12, 35, 81, 173, ___",357,350,360,370,A
TCS_LOG_022,Logical Reasoning,HARD,Series,"Number series: 100, 95, 85, 70, 50, ___",25,30,20,35,A
TCS_LOG_006,Logical Reasoning,MEDIUM,Series,"Number series: 3, 5, 9, 17, ___",33,31,29,35,A
TCS_LOG_007,Logical Reasoning,MEDIUM,Series,"Number series: 10, 9, 7, 4, ___",0,−1,1,2,A
TCS_LOG_008,Logical Reasoning,MEDIUM,Series,"Number series: 1, 2, 4, 7, 11, 16, ___",22,20,21,18,A
TCS_LOG_009,Logical Reasoning,MEDIUM,Series,"Mixed series: B2, D4, F6, H8, ___",J10,I9,K10,J11,A
TCS_LOG_024,Logical Reasoning,MEDIUM,Series,"Number series: 3, 8, 15, 24, 35, ___",48,45,50,42,A
TCS_LOG_154,Logical Reasoning,EASY,Statement and Assumptions,Statement: 'Walk-in interviews tomorrow from 10AM to 5PM.' Assumption I: Some candidates will walk in. Assumption II: No appointment is needed.,Both are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_148,Logical Reasoning,HARD,Statement and Assumptions,Statement: 'Candidates must arrive 30 min before exam.' Assumption I: Some candidates may arrive late. Assumption II: 30 minutes is sufficient time.,Both are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_151,Logical Reasoning,HARD,Statement and Assumptions,Statement: 'The railway station has been closed due to maintenance.' Assumption I: Passengers know of an alternative. Assumption II: Maintenance requires closure.,Only II is implicit,Only I is implicit,Both are implicit,Neither is implicit,A
TCS_LOG_152,Logical Reasoning,HARD,Statement and Assumptions,Statement: 'Children should be taught moral values from a young age.' Assumption I: Children can learn moral values. Assumption II: Moral values cannot be taught to adults.,Only I is implicit,Only II is implicit,Both are implicit,Neither is implicit,A
TCS_LOG_155,Logical Reasoning,HARD,Statement and Assumptions,Statement: 'Books are better companions than television.' Assumption I: Books are educational. Assumption II: Television is not educational.,Only I is implicit,Only II is implicit,Both are implicit,Neither is implicit,A
TCS_LOG_146,Logical Reasoning,MEDIUM,Statement and Assumptions,Statement: 'Use ABC toothpaste for a brighter smile.' Assumption I: People want brighter smiles. Assumption II: ABC toothpaste whitens teeth.,Both I and II are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_147,Logical Reasoning,MEDIUM,Statement and Assumptions,Statement: 'Please keep off the grass.' Assumption I: People walk on grass. Assumption II: The grass is fragile.,Both I and II are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_149,Logical Reasoning,MEDIUM,Statement and Assumptions,Statement: 'Join our weekend workshop on public speaking.' Assumption I: People want to improve their speaking skills. Assumption II: Public speaking is a valuable skill.,Both are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_150,Logical Reasoning,MEDIUM,Statement and Assumptions,Statement: 'Eat more fruits and vegetables.' Assumption I: Fruits and vegetables are healthy. Assumption II: People currently eat less of them.,Both are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_153,Logical Reasoning,MEDIUM,Statement and Assumptions,"Statement: 'If you are interested in the post, apply before 30th November.' Assumption I: Some people are interested in the post. Assumption II: Applications after 30th November will be rejected.",Both are implicit,Only I is implicit,Only II is implicit,Neither is implicit,A
TCS_LOG_136,Logical Reasoning,EASY,Statement and Conclusions,Statement: All students who study hard pass. Rajan studies hard. Conclusion: Rajan passes the exam.,Conclusion follows,Conclusion does not follow,Cannot be determined,Statement is false,A
TCS_LOG_138,Logical Reasoning,EASY,Statement and Conclusions,Statement: No politician is honest. Ram is a politician. Conclusion: Ram is not honest.,Conclusion follows,Conclusion does not follow,Partially follows,Cannot say,A
TCS_LOG_140,Logical Reasoning,EASY,Statement and Conclusions,Statement: All tables are furniture. All furniture is wood. Conclusion: All tables are wood.,Conclusion follows,Conclusion does not follow,Partially follows,Cannot say,A
TCS_LOG_137,Logical Reasoning,HARD,Statement and Conclusions,Statement: All birds can fly. Penguins are birds. Conclusion: Penguins can fly.,Conclusion follows (logically),Conclusion does not follow (factually),Cannot be determined,Both A and B,A
TCS_LOG_142,Logical Reasoning,HARD,Statement and Conclusions,Statement: The government has implemented a new tax to fund education. Conclusion: Education quality will improve immediately.,The conclusion does not necessarily follow,The conclusion follows,More information needed,Statement is incorrect,A
TCS_LOG_144,Logical Reasoning,HARD,Statement and Conclusions,Statement: Most criminals have a troubled childhood. John had a troubled childhood. Conclusion: John will become a criminal.,Conclusion does not follow,Conclusion follows,Partially follows,Cannot determine,A
TCS_LOG_145,Logical Reasoning,HARD,Statement and Conclusions,Statement: Healthy eating prevents diseases. Poor countries have high disease rates. Conclusion: People in poor countries do not eat healthy.,Conclusion may partially follow,Conclusion definitely follows,Conclusion does not follow,Needs more data,A
TCS_LOG_139,Logical Reasoning,MEDIUM,Statement and Conclusions,Statement: Some doctors are teachers. All teachers are graduates. Conclusion I: Some doctors are graduates. Conclusion II: All graduates are teachers.,Only I follows,Only II follows,Both follow,Neither follows,A
TCS_LOG_141,Logical Reasoning,MEDIUM,Statement and Conclusions,Statement: Some cats are dogs. All dogs are black. Conclusion I: Some cats are black. Conclusion II: All black are dogs.,Only I follows,Both follow,Only II follows,Neither follows,A
TCS_LOG_143,Logical Reasoning,MEDIUM,Statement and Conclusions,Statement: Regular exercise reduces stress. Meena exercises daily. Conclusion: Meena has reduced stress.,Conclusion likely follows,Conclusion definitely follows,Conclusion does not follow,Cannot say,A
TCS_LOG_061,Logical Reasoning,EASY,Syllogisms,All dogs are animals. All animals are mammals. Conclusions: (I) All dogs are mammals. (II) Some mammals are dogs.,Both I and II follow,Only I follows,Only II follows,Neither follows,A
TCS_LOG_067,Logical Reasoning,EASY,Syllogisms,All sparrows are birds. No bird is a reptile. Conclusions: (I) No sparrow is a reptile. (II) Some birds are sparrows.,Both I and II follow,Only I follows,Only II follows,Neither follows,A
TCS_LOG_069,Logical Reasoning,EASY,Syllogisms,All metals are conductors. Copper is a metal. Conclusions: (I) Copper is a conductor. (II) All conductors are metals.,Only I follows,Only II follows,Both follow,Neither follows,A
TCS_LOG_062,Logical Reasoning,HARD,Syllogisms,All pens are pencils. Some pencils are erasers. Conclusions: (I) Some pens are erasers. (II) All erasers are pens.,Neither I nor II follows,Only I follows,Only II follows,Both follow,A
TCS_LOG_065,Logical Reasoning,HARD,Syllogisms,All roses are flowers. Some flowers are plants. Conclusions: (I) Some roses are plants. (II) All plants are flowers.,Neither follows,Only I follows,Only II follows,Both follow,A
TCS_LOG_066,Logical Reasoning,HARD,Syllogisms,All books are copies. Some copies are files. Conclusions: (I) Some books are files. (II) Some files are books.,Neither follows,Only I follows,Only II follows,Both follow,A
TCS_LOG_071,Logical Reasoning,HARD,Syllogisms,All students are learners. Some learners are teachers. Conclusions: (I) Some students are teachers. (II) No teacher is a student.,Neither follows,Only I follows,Only II follows,Both follow,A
TCS_LOG_074,Logical Reasoning,HARD,Syllogisms,Some singers are dancers. Some dancers are actors. Conclusions: (I) Some singers are actors. (II) All actors are singers.,Neither follows,Only I follows,Only II follows,Both follow,A
TCS_LOG_063,Logical Reasoning,MEDIUM,Syllogisms,No table is chair. All chairs are sofas. Conclusions: (I) No sofa is table. (II) Some sofas are chairs.,Only II follows,Only I follows,Both follow,Neither follows,A
TCS_LOG_064,Logical Reasoning,MEDIUM,Syllogisms,Some cats are dogs. All dogs are horses. Conclusions: (I) Some cats are horses. (II) All horses are dogs.,Only I follows,Only II follows,Both follow,Neither follows,A
TCS_LOG_068,Logical Reasoning,MEDIUM,Syllogisms,Some apples are mangoes. All mangoes are fruits. Conclusions: (I) All apples are fruits. (II) Some fruits are apples.,Only II follows,Only I follows,Both follow,Neither follows,A
TCS_LOG_070,Logical Reasoning,MEDIUM,Syllogisms,No fish is a mammal. All whales are mammals. Conclusions: (I) No whale is a fish. (II) Some mammals are whales.,Both I and II follow,Only I follows,Only II follows,Neither follows,A
TCS_LOG_072,Logical Reasoning,MEDIUM,Syllogisms,Some mountains are rivers. All rivers are oceans. Conclusions: (I) Some mountains are oceans. (II) All oceans are rivers.,Only I follows,Both follow,Only II follows,Neither follows,A
TCS_LOG_075,Logical Reasoning,MEDIUM,Syllogisms,All cars are vehicles. All buses are vehicles. Conclusions: (I) All cars are buses. (II) Some vehicles are cars.,Only II follows,Only I follows,Both follow,Neither follows,A
TCS_LOG_226,Logical Reasoning,EASY,Venn Diagrams,"In a Venn diagram with two circles A and B overlapping: region (A only) = 15, (B only) = 20, (both) = 10. Total elements = ?",45,35,30,50,A
TCS_LOG_229,Logical Reasoning,EASY,Venn Diagrams,"Set A = {1,2,3,4,5}, Set B = {3,4,5,6,7}. What is A∩B?","{ 3,4,5}","{1,2,6,7}","{1,2,3,4,5,6,7}","{3,5}",A
TCS_LOG_230,Logical Reasoning,EASY,Venn Diagrams,"Set A = {a,b,c,d}, Set B = {c,d,e,f}. What is A∪B?","{a,b,c,d,e,f}","{c,d}","{a,b}","{e,f}",A
TCS_LOG_225,Logical Reasoning,HARD,Venn Diagrams,"In a group of 200 students: 100 study Physics, 120 study Chemistry, 50 study both. How many study neither?",30,50,20,40,A
TCS_LOG_221,Logical Reasoning,MEDIUM,Venn Diagrams,"In a class of 50: 30 like Cricket, 20 like Football, 10 like both. How many like neither?",10,15,20,5,A
TCS_LOG_222,Logical Reasoning,MEDIUM,Venn Diagrams,"In a group: 60% like A, 50% like B, 20% like both. What % like neither?",10%,15%,20%,5%,A
TCS_LOG_223,Logical Reasoning,MEDIUM,Venn Diagrams,"Out of 100 people: 70 read newspaper A, 60 read newspaper B, 40 read both. How many read neither?",10,15,20,5,A
TCS_LOG_224,Logical Reasoning,MEDIUM,Venn Diagrams,"A survey found 80 people: 50 have cars, 30 have bikes, 10 have both. How many have neither?",10,15,20,5,A
TCS_LOG_227,Logical Reasoning,MEDIUM,Venn Diagrams,"Sets: |A| = 40, |B| = 30, |A∪B| = 60. Find |A∩B|.",10,15,20,25,A
TCS_LOG_228,Logical Reasoning,MEDIUM,Venn Diagrams,"In a survey, 100 people: 70% like tea, 60% like coffee, 40% like both. What % like only tea?",30%,20%,25%,40%,A
TCS_APT_205,Numerical Ability,EASY,Ages,A is 2 years older than B. Sum of their ages is 40. Find A's age.,21,19,22,20,A
TCS_APT_208,Numerical Ability,EASY,Ages,"The average age of 5 people is 30. If the eldest is 50, the average of the rest is:",25,22,20,28,A
TCS_APT_206,Numerical Ability,HARD,Ages,"Ratio of A's to B's age is 4:5. In 5 years, ratio becomes 5:6. Find A's current age.",20,25,15,30,A
TCS_APT_207,Numerical Ability,HARD,Ages,"A mother is 30 years older than her daughter. In 5 years, mother will be 3 times daughter's age. Find daughter's current age.",10,8,12,15,A
TCS_APT_204,Numerical Ability,MEDIUM,Ages,"Father is 4 times son's age. In 20 years, father will be twice son's age. Find son's current age.",10,15,12,8,A
TCS_APT_109,Numerical Ability,EASY,Algebra,"If 3x + 5 = 20, what is x?",5,4,6,3,A
TCS_APT_110,Numerical Ability,EASY,Algebra,"If x2 - 5x + 6 = 0, the values of x are:",2 and 3,1 and 6,−2 and −3,2 and −3,A
TCS_APT_119,Numerical Ability,EASY,Algebra,"If f(x) = 2x2 − 3x + 1, find f(2).",3,5,2,4,A
TCS_APT_121,Numerical Ability,EASY,Algebra,Simplify (x2 − 4)/(x − 2).,x + 2,x − 2,x2 + 2,2x,A
TCS_APT_122,Numerical Ability,EASY,Algebra,"If 3a = 4b, find the ratio a:b.",4:3,3:4,1:1,2:3,A
TCS_APT_455,Numerical Ability,EASY,Algebra,Find the sum of roots of 2x2 - 8x + 6 = 0,4,3,2,6,A
TCS_APT_457,Numerical Ability,EASY,Algebra,"2^(x+3) = 16, find x.",1,2,3,0,A
TCS_APT_461,Numerical Ability,EASY,Algebra,Sum of first n natural numbers formula is:,n(n+1)/2,n(n-1)/2,n2,n(n+2)/2,A
TCS_APT_112,Numerical Ability,HARD,Algebra,"If 2x − 3y = 4 and 3x + y = 7, find x.",1.8,2,1.5,2.5,B
TCS_APT_114,Numerical Ability,HARD,Algebra,"If x + y = 12 and xy = 32, what is x2 + y2?",80,64,96,100,A
TCS_APT_117,Numerical Ability,HARD,Algebra,"If a + b = 5 and ab = 6, find a3 + b3.",35,30,25,45,A
TCS_APT_118,Numerical Ability,HARD,Algebra,For what value of k does 2x2 + kx + 8 = 0 have equal roots?,8,4,−8,±8,D
TCS_APT_452,Numerical Ability,HARD,Algebra,"If x2 + y2 = 25 and xy = 12, find x + y.",7,5,6,8,A
TCS_APT_459,Numerical Ability,HARD,Algebra,Find the number of solutions: |x - 3| = x + 1,One solution: x=1,Two solutions: x=1 and x=−2 rejected,Infinitely many,No solution,A
TCS_APT_113,Numerical Ability,MEDIUM,Algebra,The sum of two numbers is 40 and their difference is 10. Find the smaller number.,15,20,25,10,A
TCS_APT_120,Numerical Ability,MEDIUM,Algebra,Find the product of roots of 3x2 − 5x + 2 = 0.,2/3,5/3,3/2,1/2,A
TCS_APT_454,Numerical Ability,MEDIUM,Algebra,"If a + b = 7 and a - b = 3, find a2 - b2",21,18,15,24,A
TCS_APT_456,Numerical Ability,MEDIUM,Algebra,"If logx 64 = 3, find x.",4,8,16,2,A
TCS_APT_458,Numerical Ability,MEDIUM,Algebra,"If f(x) = x2 - 1, find f(f(2)).",8,7,9,6,A
TCS_APT_215,Numerical Ability,MEDIUM,Aptitude,A number increased by 20% gives 180. What is the original number?,150,160,140,170,A
TCS_APT_216,Numerical Ability,MEDIUM,Aptitude,"If 15% of a number is 45, what is 40% of that number?",120,100,80,60,A
TCS_APT_218,Numerical Ability,MEDIUM,Aptitude,A shopkeeper marks a price 40% above cost and gives 10% discount. What is the profit %?,26%,30%,24%,28%,A
TCS_APT_219,Numerical Ability,MEDIUM,Aptitude,"If the price of an article falls by 20%, by what % must sales increase to maintain revenue?",25%,20%,15%,30%,A
TCS_APT_220,Numerical Ability,MEDIUM,Aptitude,"A student scored 72% in an exam. If full marks = 500, find the marks obtained.",360,350,380,370,A
TCS_APT_221,Numerical Ability,MEDIUM,Aptitude,"Two numbers are in ratio 3:5. If their sum is 160, find the smaller number.",60,80,50,70,A
TCS_APT_222,Numerical Ability,MEDIUM,Aptitude,What percentage is 75 of 300?,25%,20%,30%,15%,A
TCS_APT_223,Numerical Ability,MEDIUM,Aptitude,"If A:B = 2:3 and B:C = 4:5, find A:C.",8:15,2:5,4:9,6:10,A
TCS_APT_224,Numerical Ability,MEDIUM,Aptitude,A train travels 360 km in 4 hours. What is its speed in km/h?,90,80,100,70,A
TCS_APT_225,Numerical Ability,MEDIUM,Aptitude,Two trains of 100m and 150m run at 60 km/h and 90 km/h in opposite directions. Time to cross?,6 sec,8 sec,10 sec,5 sec,A
TCS_APT_226,Numerical Ability,MEDIUM,Aptitude,A car covers 120 km at 40 km/h and 180 km at 60 km/h. Find average speed.,52 km/h,50 km/h,48 km/h,55 km/h,B
TCS_APT_227,Numerical Ability,MEDIUM,Aptitude,"Walking at 4/5 of usual speed, a man is 15 min late. Find usual time.",60 min,75 min,90 min,45 min,A
TCS_APT_228,Numerical Ability,MEDIUM,Aptitude,A train 200m long crosses a 300m bridge at 50 km/h. Time taken?,36 sec,40 sec,30 sec,24 sec,A
TCS_APT_229,Numerical Ability,MEDIUM,Aptitude,A and B together can do a job in 12 days. A alone in 20 days. B alone in how many days?,30,25,40,35,A
TCS_APT_230,Numerical Ability,MEDIUM,Aptitude,"A pipe fills a tank in 6 hours. Another drains it in 8 hours. Both open, time to fill?",24 hours,20 hours,16 hours,18 hours,A
TCS_APT_231,Numerical Ability,MEDIUM,Aptitude,"A and B together finish in 8 days, B and C in 12 days, A and C in 16 days. All three together?",About 7.38 days,6 days,8 days,9 days,A
TCS_APT_232,Numerical Ability,MEDIUM,Aptitude,"A does 1/4 work in 3 days, B does 1/3 work in 4 days. Together how many days to finish?",about 5.5 days,6 days,7 days,4.5 days,A
TCS_APT_233,Numerical Ability,MEDIUM,Aptitude,"Two workers A and B complete a job. A takes 18 days, B takes 9 days. Working together?",6 days,5 days,4 days,7 days,A
TCS_APT_234,Numerical Ability,MEDIUM,Aptitude,Simple interest on Rs 5000 at 8% p.a. for 3 years?,1200,1500,1000,800,A
TCS_APT_235,Numerical Ability,MEDIUM,Aptitude,Find compound interest on Rs 10000 at 10% p.a. for 2 years.,2100,2000,1900,2200,A
TCS_APT_236,Numerical Ability,MEDIUM,Aptitude,At what rate will Rs 8000 amount to Rs 9200 in 3 years (SI)?,5%,4%,6%,3%,A
TCS_APT_237,Numerical Ability,MEDIUM,Aptitude,The sum doubles in 10 years under SI. Find the rate.,10%,8%,12%,5%,A
TCS_APT_238,Numerical Ability,MEDIUM,Aptitude,Difference between CI and SI for 2 years at 10% on Rs 1000?,10,20,15,5,A
TCS_APT_239,Numerical Ability,MEDIUM,Aptitude,The cost price of an article is Rs 200. It is sold at a profit of 15%. Find selling price.,230,240,220,250,A
TCS_APT_240,Numerical Ability,MEDIUM,Aptitude,A sold an article for Rs 240 at 20% profit. Find cost price.,200,180,220,190,A
TCS_APT_241,Numerical Ability,MEDIUM,Aptitude,"By selling an article for Rs 560, a man gains 12%. Find cost price.",500,480,520,460,A
TCS_APT_242,Numerical Ability,MEDIUM,Aptitude,A man buys at Rs 750 and sells at Rs 675. Find loss %.,10%,8%,12%,5%,A
TCS_APT_243,Numerical Ability,MEDIUM,Aptitude,"A trader has a 20% loss. If cost is Rs 500, what is selling price?",400,450,350,420,A
TCS_APT_244,Numerical Ability,MEDIUM,Aptitude,"What is the LCM of 12, 18, and 24?",72,36,48,60,A
TCS_APT_246,Numerical Ability,MEDIUM,Aptitude,"Find the LCM of 4, 6, 8, 10.",120,60,40,80,A
TCS_APT_247,Numerical Ability,MEDIUM,Aptitude,The product of two numbers is 120. HCF is 4. Find LCM.,30,40,20,50,A
TCS_APT_248,Numerical Ability,MEDIUM,Aptitude,HCF of two numbers is 8 and their LCM is 96. One number is 32. Find the other.,24,16,32,48,A
TCS_APT_249,Numerical Ability,MEDIUM,Aptitude,What is the square root of 1764?,42,41,43,44,A
TCS_APT_251,Numerical Ability,MEDIUM,Aptitude,What is the cube root of 1331?,11,12,13,10,A
TCS_APT_253,Numerical Ability,MEDIUM,Aptitude,Find the value of (2^5 × 2^3) / 2^4.,16,32,8,64,A
TCS_APT_254,Numerical Ability,MEDIUM,Aptitude,A man is 24 years older than his son. In 2 years his age will be twice his son's. Find son's age now.,22,20,24,18,A
TCS_APT_255,Numerical Ability,MEDIUM,Aptitude,"The sum of ages of A and B is 45 years. 5 years ago, A was twice as old as B. Find A's current age.",35,30,25,40,A
TCS_APT_256,Numerical Ability,MEDIUM,Aptitude,"Father is 4 times older than son. 5 years hence, father will be 3 times son. Find father's age.",40,35,45,50,A
TCS_APT_257,Numerical Ability,MEDIUM,Aptitude,"Average of 5 numbers is 27. If one number is 32, find avg of remaining 4.",25.75,26,24.5,27,A
TCS_APT_258,Numerical Ability,MEDIUM,Aptitude,"The average of 10 numbers is 40. If 2 more numbers (60 and 80) are added, new average?",45,47.5,50,42,B
TCS_APT_259,Numerical Ability,MEDIUM,Aptitude,Average marks of 30 students is 60. 5 more students with avg 80 join. New average?,63.6,65,62,64,A
TCS_APT_260,Numerical Ability,MEDIUM,Aptitude,The average of consecutive integers from 10 to 20 is?,15,14,16,17,A
TCS_APT_261,Numerical Ability,MEDIUM,Aptitude,"Average weight of 40 students is 55 kg. New student joins, avg becomes 55.1 kg. New student's weight?",59,61,63,55,A
TCS_APT_262,Numerical Ability,MEDIUM,Aptitude,"If average of n numbers is 40 and one number 20 is replaced by 60, new avg is 44. Find n.",10,8,5,12,A
TCS_APT_263,Numerical Ability,MEDIUM,Aptitude,In what ratio must rice at Rs 12/kg be mixed with rice at Rs 16/kg to get mixture at Rs 14/kg?,1:1,2:1,1:2,3:1,A
TCS_APT_264,Numerical Ability,MEDIUM,Aptitude,"A milkman mixes water and milk in ratio 1:3. If mixture is 40L, how many litres of milk?",30,20,25,35,A
TCS_APT_265,Numerical Ability,MEDIUM,Aptitude,Two alloys have iron and copper in ratios 3:1 and 1:3. Mixed equally. Ratio in mixture?,1:1,2:3,3:2,4:1,A
TCS_APT_266,Numerical Ability,MEDIUM,Aptitude,Sugar costing Rs 9/kg and Rs 15/kg mixed in ratio 2:1. Cost of mixture per kg?,11,12,10,13,A
TCS_APT_267,Numerical Ability,MEDIUM,Aptitude,A container has 20L milk. 4L removed and replaced with water. Repeated twice. Milk remaining?,12.8L,13.6L,11.2L,14.4L,A
TCS_APT_268,Numerical Ability,MEDIUM,Aptitude,"Find area of a rectangle: length 12m, breadth 8m.",96 m2,80 m2,100 m2,72 m2,A
TCS_APT_269,Numerical Ability,MEDIUM,Aptitude,A circle has radius 7cm. Find area (π = 22/7).,154 cm2,144 cm2,176 cm2,132 cm2,A
TCS_APT_270,Numerical Ability,MEDIUM,Aptitude,Perimeter of a square is 48m. Find its area.,144 m2,100 m2,121 m2,169 m2,A
TCS_APT_271,Numerical Ability,MEDIUM,Aptitude,Volume of a cube of side 5cm.,125 cm3,100 cm3,75 cm3,150 cm3,A
TCS_APT_272,Numerical Ability,MEDIUM,Aptitude,A cylinder has radius 7cm and height 10cm. Find volume (π=22/7).,1540 cm3,1000 cm3,1200 cm3,1320 cm3,A
TCS_APT_273,Numerical Ability,MEDIUM,Aptitude,Area of a triangle with base 10m and height 6m.,30 m2,60 m2,50 m2,25 m2,A
TCS_APT_274,Numerical Ability,MEDIUM,Aptitude,"Find diagonal of rectangle: length 8m, breadth 6m.",10m,12m,8m,14m,A
TCS_APT_275,Numerical Ability,MEDIUM,Aptitude,A cone has radius 7cm and height 24cm. Find slant height.,25cm,26cm,20cm,28cm,A
TCS_APT_276,Numerical Ability,MEDIUM,Aptitude,Total surface area of a cube of side 6cm.,216 cm2,144 cm2,180 cm2,196 cm2,A
TCS_APT_277,Numerical Ability,MEDIUM,Aptitude,"A rectangle has perimeter 60m. If length is 20m, find breadth.",10m,15m,12m,8m,A
TCS_APT_278,Numerical Ability,MEDIUM,Aptitude,"x + y = 10, x - y = 2. Find x and y.","x=6, y=4","x=4, y=6","x=7, y=3","x=5, y=5",A
TCS_APT_283,Numerical Ability,MEDIUM,Aptitude,Two numbers differ by 6. Their sum is 42. Find the numbers.,24 and 18,20 and 22,21 and 21,25 and 17,A
TCS_APT_284,Numerical Ability,MEDIUM,Aptitude,"If the sum of two numbers is 72 and one is twice the other, find the numbers.",24 and 48,36 and 36,20 and 52,30 and 42,A
TCS_APT_286,Numerical Ability,MEDIUM,Aptitude,A 20% increase followed by 25% decrease gives what net change?,-10%,0%,-5%,+5%,A
TCS_APT_287,Numerical Ability,MEDIUM,Aptitude,A shopkeeper uses a 900g weight for 1kg. His profit%?,About 11.1%,10%,9%,12.5%,A
TCS_APT_288,Numerical Ability,MEDIUM,Aptitude,"Find compound amount: P=1000, r=10%, t=3 years.",1331,1200,1300,1100,A
TCS_APT_289,Numerical Ability,MEDIUM,Aptitude,What sum at 5% SI gives Rs 150 interest in 2 years?,1500,1200,1000,1800,A
TCS_APT_290,Numerical Ability,MEDIUM,Aptitude,"If A is 40% of B and B is 25% of C, what % is A of C?",10%,5%,15%,20%,A
TCS_APT_291,Numerical Ability,MEDIUM,Aptitude,"In an election, candidate A gets 55% votes. Winning margin is 2000 votes. Total votes?",20000,10000,15000,25000,A
TCS_APT_292,Numerical Ability,MEDIUM,Aptitude,Population of a city is 80000. It increases by 10% in yr1 and decreases by 5% in yr2. Final pop?,83600,84000,86000,82000,A
TCS_APT_293,Numerical Ability,MEDIUM,Aptitude,A mixture of 60L has milk:water = 2:1. How much water to add to get 1:1 ratio?,20L,30L,15L,10L,A
TCS_APT_294,Numerical Ability,MEDIUM,Aptitude,A cistern can be filled by pipes A and B in 6h and 8h. Opened together. Time to fill 3/4 tank?,3h 26min,2h 24min,4h,2h,A
TCS_APT_295,Numerical Ability,MEDIUM,Aptitude,A man rows 18 km downstream in 2h and returns in 3h. Speed of stream?,1.5 km/h,2 km/h,1 km/h,2.5 km/h,A
TCS_APT_296,Numerical Ability,MEDIUM,Aptitude,"Speed of a boat in still water 12 km/h, stream 4 km/h. Time to cover 48 km upstream?",6h,4h,8h,5h,A
